ID;Title;creator;year of creation;url;type;technology;interaction_level;versioning;language;metadata_source;License
1;The Master of the Land;Pseudavid;2018;https://pseudavid.itch.io/the-master-of-the-land;interactive fiction, fantasy storygame;Twine;mediuem;Version 3.0;English;https://ifdb.org/viewgame?id=fguprb9bwjxo4gu4;Freeware
2;First draft of the revolution;Emily Short and Liza Daly;2012;https://collection.eliterature.org/3/works/first-draft-of-the-revolution/OEBPS/content/chapter4.html;interactive fiction, hypertext;HTML5, EPUB3;medium;stable;English;collection.eliterature.org;CC BY-NC.ND 4.0
3;De Baron;Victor Gijsbers;2006;https://iplayif.com/?story=https%3A%2F%2Funbox.ifarchive.org%2F%3Furl%3Dhttp%253A%252F%252Fwww.ifarchive.org%252Fif-archive%252Fgames%252Fspringthing%252F2006%252Fbaron.zip%26open%3Dbaron_EN.z8;interactive fiction, fantasy;Inform 6;high;stable;English, Dutch;https://ifdb.org/viewgame?id=weac28l51hiqfzxz;General Public License
4;Arthur: The Quest For Excalibur;Bob Bates;1989;https://curiousdannii.github.io/infocom-frotz/arthur.html;Interactive fiction, Arthurian, Fantasy;HTML;high;unknown;English;https://ifdb.org/viewgame?id=zoohwv5nqye7up2t;Commercial
5;The Legend of Robin Hood;Craig Dutton;2016;https://play.textadventures.co.uk/textadventures/kybRmVP890OfqeqrMjJ9-g;historical interactive fiction;Quest;medium;unknown;English;https://ifdb.org/viewgame?id=cls6siq2oc81ar0x;Freeware
6;Hobo Lobo of Hamelin;Stevan Živadinović;2011;http://hobolobo.net/;fiction;Hypertext, HTML;low;stable;English, French, Spanish;collection.eliterature.org;CC BY-NC.ND 4.0
7;A pirates life for me;Skyz_26;2023;https://chooseyourstory.com/story/viewer/default.aspx?StoryId=69781;interactive fiction, fantasy storygame;not mentioned;medium;stable;English;chooseyourstory.com;not mentioned
8;Blackbirds;ninjapitka;2021;https://chooseyourstory.com/story/viewer/default.aspx?StoryId=65742;interactive fiction, fantasy storygame;not mentioned;medium;stable;English;chooseyourstory.com;not mentioned
9;Wayfarer;AM Morrigan;2021;https://idrellegames.itch.io/wayfarer;dark fantasy interactive fition game;HTML5;high;in developement;English;https://idrellegames.itch.io/wayfarer;not mentioned
10;A Tale of Crowns;Qeresi;2020;https://qeresi.itch.io/a-tale-of-crowns;Interctive fiction;HTML5;high;in developement;English;https://qeresi.itch.io/a-tale-of-crowns;not mentioned
11;Fantasy Opera: Mischief at the Masquerade;Lamp Post Projects;2025;https://lamppostprojects.com/fantasy-opera/;Interactive fiction, ;ink  narrative scripting language;high;unknown;English;https://ifdb.org/viewgame?id=2uh4yl2hkc8uom5b;© 2025 Nell Shaw Cohen. All rights reserved.
12;Crimson Rose & White Lily;manonamora;2021;https://manonamora.itch.io/crimson-rose-and-white-lily;Interactive fiction,  romance;HTML5;medium;in developement;English;https://manonamora.itch.io/crimson-rose-and-white-lily;not mentioned
13;The Bones of Rosalinda;Agnieszka Trzaska;2022;https://agat.itch.io/the-bones-of-rosalinda;Interactive fiction;HTML5;high;released;English;https://agat.itch.io/the-bones-of-rosalinda, https://ifdb.org/viewgame?id=qm6uf1ha48jnktfa;Freeware
14;The sword od Rhivenia;Ayan Mammadli;2022;https://www.choiceofgames.com/user-contributed/sword-of-rhivenia/;Interactive fiction;ChoiceScript;medium;unknown;English;https://ifdb.org/viewgame?id=h5iiarenyjuzsls9;Commercial
15;Tawern Crawler;Josh Labelle;2020;https://cogsandspanners.itch.io/tavern-crawler;Interactive fiction, adventure;HTML5;high;released;English;https://ifdb.org/viewgame?id=4bddum51nb6c568t;Creative Commons
